request,type,start_ts,end_ts,latency_seconds
2026-01-05_16:57:54,classification,1767628374.397734203,1767628674.448461956,300.050727753
2026-01-05_17:02:54,detection,1767628374.397570908,1767628974.462231391,600.064660483
