ts_iso,request_index,latency_ms,status
2025-11-18T14:41:15Z,1,597.525,200
2025-11-18T14:41:15Z,2,991.095,200
2025-11-18T14:41:15Z,3,433.905,200
2025-11-18T14:41:15Z,4,523.029,200
2025-11-18T14:41:15Z,5,507.353,200
2025-11-18T14:41:15Z,6,897.242,200
2025-11-18T14:41:15Z,7,642.597,200
2025-11-18T14:41:15Z,8,319.058,200
2025-11-18T14:41:15Z,9,729.646,200
2025-11-18T14:41:16Z,10,654.754,200
2025-11-18T14:41:16Z,11,398.456,200
2025-11-18T14:41:16Z,12,570.846,200
2025-11-18T14:41:16Z,13,423.740,200
2025-11-18T14:41:16Z,14,428.715,200
2025-11-18T14:41:16Z,15,339.601,200
2025-11-18T14:41:16Z,16,265.003,200
2025-11-18T14:41:16Z,17,665.521,200
2025-11-18T14:41:16Z,18,973.123,200
2025-11-18T14:41:16Z,19,806.505,200
2025-11-18T14:41:16Z,20,654.162,200
2025-11-18T14:41:16Z,21,729.779,200
2025-11-18T14:41:16Z,22,726.502,200
2025-11-18T14:41:17Z,23,735.056,200
2025-11-18T14:41:17Z,24,415.118,200
2025-11-18T14:41:17Z,25,960.446,200
2025-11-18T14:41:17Z,26,793.316,200
2025-11-18T14:41:17Z,27,482.190,200
2025-11-18T14:41:17Z,28,908.895,200
2025-11-18T14:41:17Z,29,478.162,200
2025-11-18T14:41:17Z,30,328.556,200
2025-11-18T14:41:17Z,31,809.208,200
2025-11-18T14:41:17Z,32,394.812,200
2025-11-18T14:41:17Z,33,503.870,200
2025-11-18T14:41:18Z,34,638.600,200
2025-11-18T14:41:18Z,35,976.295,200
2025-11-18T14:41:18Z,36,663.968,200
2025-11-18T14:41:18Z,37,580.405,200
2025-11-18T14:41:18Z,38,550.577,200
2025-11-18T14:41:18Z,39,1322.664,200
2025-11-18T14:41:18Z,40,707.385,200
2025-11-18T14:41:18Z,41,840.635,200
2025-11-18T14:41:18Z,42,329.658,200
2025-11-18T14:41:18Z,43,661.214,200
2025-11-18T14:41:18Z,44,1046.993,200
2025-11-18T14:41:18Z,45,424.792,200
2025-11-18T14:41:18Z,46,500.164,200
2025-11-18T14:41:19Z,47,417.315,200
2025-11-18T14:41:19Z,48,727.248,200
2025-11-18T14:41:19Z,49,798.916,200
2025-11-18T14:41:19Z,50,633.851,200
2025-11-18T14:41:19Z,51,478.075,200
2025-11-18T14:41:19Z,52,643.911,200
2025-11-18T14:41:19Z,53,830.256,200
2025-11-18T14:41:19Z,54,1005.410,200
2025-11-18T14:41:19Z,55,811.896,200
2025-11-18T14:41:19Z,56,423.811,200
2025-11-18T14:41:20Z,57,873.364,200
2025-11-18T14:41:20Z,58,633.481,200
2025-11-18T14:41:20Z,59,361.771,200
