timestamp,latency_ms,qps
2025-12-01T14:51:29.604547,172.8189,2
2025-12-01T14:51:30.279891,168.9115,2
2025-12-01T14:51:30.954018,166.7418,2
2025-12-01T14:51:31.630180,167.8185,2
2025-12-01T14:51:32.275879,137.3472,2
2025-12-01T14:51:32.925405,143.0602,2
2025-12-01T14:51:33.550870,117.1708,2
2025-12-01T14:51:34.172641,114.0788,2
2025-12-01T14:51:34.796277,115.7839,2
2025-12-01T14:51:35.428652,124.9943,2
2025-12-01T14:51:36.053067,117.1360,2
2025-12-01T14:51:36.677627,118.9430,2
2025-12-01T14:51:37.299294,114.7530,2
2025-12-01T14:51:37.937918,131.7763,2
2025-12-01T14:51:38.559946,114.5270,2
2025-12-01T14:51:39.180629,113.1883,2
2025-12-01T14:51:39.801656,113.8558,2
2025-12-01T14:51:40.431202,121.6323,2
2025-12-01T14:51:41.066399,126.9014,2
2025-12-01T14:51:41.694100,117.1126,2
2025-12-01T14:51:42.319492,115.9215,2
2025-12-01T14:51:42.945173,118.8002,2
2025-12-01T14:51:43.568579,116.1652,2
2025-12-01T14:51:44.214141,136.9638,2
2025-12-01T14:51:44.841172,119.2904,2
2025-12-01T14:51:45.473832,123.8675,2
2025-12-01T14:51:46.107100,123.7705,2
2025-12-01T14:51:46.730230,114.5744,2
2025-12-01T14:51:47.353255,117.7227,2
2025-12-01T14:51:47.979278,120.3952,2
2025-12-01T14:51:48.604286,117.2552,2
2025-12-01T14:51:49.228699,117.1854,2
2025-12-01T14:51:49.850247,115.1617,2
2025-12-01T14:51:50.475294,116.9796,2
2025-12-01T14:51:51.099615,115.8197,2
2025-12-01T14:51:51.721793,115.9778,2
2025-12-01T14:51:52.346339,118.2821,2
2025-12-01T14:51:52.992129,138.3989,2
2025-12-01T14:51:53.617519,116.8456,2
2025-12-01T14:51:54.237244,113.9386,2
2025-12-01T14:51:54.860975,113.9565,2
2025-12-01T14:51:55.484428,117.0342,2
2025-12-01T14:51:56.111288,118.4304,2
2025-12-01T14:51:56.742925,121.5494,2
